t,lat,lon,altitude_m,speed_kmh,heading_deg,gps_dop,gps_sats,dist_m,arc_m,slope_pct,slope_deg,g_vertical,g_lateral,g_longitudinal,g_lateral_peak,g_long_peak,in_curve
0.0,43.534275,13.500291666666667,36.2,32.7897,222.02,0.69,14,0.0,0.0,,,0.9853,-0.1824,0.18,0.2573,0.3145,True
0.0,43.53371944444444,13.500080555555556,32.6,0.0,,0.71,14,64.076,0.0,-5.62,-3.216,,,,,,True
0.0,43.53354722222222,13.5001,31.7,0.0,,0.68,15,19.214,0.0,-4.68,-2.682,,,,,,True
0.0,43.53346666666666,13.500136111111111,31.0,0.0,,0.68,15,9.419,0.0,-7.43,-4.251,,,,,,True
0.0,43.533297222222224,13.500402777777778,30.3,0.0,,0.79,14,28.585,0.0,-2.45,-1.403,,,,,,True
0.0,43.533277777777776,13.500519444444445,30.3,0.0,,0.79,14,9.65,0.0,0.0,0.0,,,,,,True
0.0,43.53312222222222,13.501019444444445,31.6,0.0,,0.67,15,43.861,0.0,2.96,1.698,,,,,,True
0.0,43.530699999999996,13.500477777777778,34.3,0.0,,0.7,14,272.856,0.0,0.99,0.567,,,,,,True
0.0,43.53057222222222,13.500452777777777,34.5,0.0,,0.74,13,14.35,0.0,1.39,0.798,,,,,,True
0.0,43.53004444444444,13.500377777777778,36.6,0.0,,0.83,13,58.997,0.0,3.56,2.039,,,,,,True
0.0,43.52825833333333,13.500347222222222,55.5,0.0,,0.82,12,198.622,0.0,9.52,5.436,,,,,,True
0.0,43.52815,13.500355555555556,57.0,0.0,,0.82,12,12.065,0.0,12.43,7.087,,,,,,True
0.0,43.52804444444445,13.500358333333333,58.1,0.0,,0.82,12,11.739,0.0,9.37,5.353,,,,,,True
0.0,43.52793888888889,13.50036388888889,59.3,0.0,,0.82,12,11.746,0.0,10.22,5.833,,,,,,True
0.0,43.52773333333333,13.50036388888889,61.1,0.0,,0.82,12,22.857,0.0,7.88,4.503,,,,,,True
0.0,43.52719722222222,13.500352777777778,65.3,0.0,,0.86,11,59.62,0.0,7.04,4.03,,,,,,True
0.0,43.52421666666667,13.498863888888888,90.4,0.0,,0.65,14,352.492,0.0,7.12,4.073,,,,,,True
0.0,43.524119444444445,13.498752777777778,91.9,0.0,,0.65,14,14.04,0.0,10.68,6.098,,,,,,True
0.0,43.52402222222222,13.498644444444444,93.2,0.0,,0.65,14,13.898,0.0,9.35,5.344,,,,,,True
0.0,43.523175,13.497913888888888,100.1,0.0,,0.86,12,111.105,0.0,6.21,3.554,,,,,,True
0.0,43.523066666666665,13.497902777777776,99.3,0.0,,0.73,13,12.079,0.0,-6.62,-3.789,,,,,,True
0.0,43.52282777777778,13.497888888888887,97.7,0.0,,0.81,12,26.587,0.0,-6.02,-3.444,,,,,,True
0.0,43.518775,13.497941666666666,67.4,0.0,,0.81,14,450.668,0.0,-6.72,-3.846,,,,,,True
0.0,43.518499999999996,13.497944444444444,65.9,0.0,,0.8,14,30.579,0.0,-4.91,-2.808,,,,,,True
0.0,43.51835833333333,13.497947222222221,65.0,0.0,,0.8,14,15.754,0.0,-5.71,-3.27,,,,,,True
0.0,43.51807222222222,13.49796111111111,63.0,0.0,,0.8,14,31.834,0.0,-6.28,-3.595,,,,,,True
0.0,43.51792777777778,13.497966666666667,62.1,0.0,,0.8,14,16.068,0.0,-5.6,-3.206,,,,,,True
0.0,43.517783333333334,13.497969444444443,61.2,0.0,,0.8,14,16.063,0.0,-5.6,-3.207,,,,,,True
0.0,43.51671388888889,13.497988888888887,58.5,0.0,,0.68,15,118.927,0.0,-2.27,-1.301,,,,,,True
0.0,43.5166,13.497994444444444,58.3,0.0,,0.68,15,12.672,0.0,-1.58,-0.904,,,,,,True
0.0,43.516486111111114,13.49799722222222,58.0,0.0,,0.68,15,12.666,0.0,-2.37,-1.357,,,,,,True
0.0,43.51637777777778,13.498,57.6,0.0,,0.73,14,12.048,0.0,-3.32,-1.902,,,,,,True
0.0,43.51626944444445,13.498002777777778,57.3,0.0,,0.73,14,12.048,0.0,-2.49,-1.426,,,,,,True
0.0,43.51593888888889,13.498013888888888,56.2,0.0,,0.73,14,36.767,0.0,-2.99,-1.714,,,,,,True
0.0,43.51571111111111,13.498019444444443,55.3,0.0,,0.73,14,25.332,0.0,-3.55,-2.035,,,,,,True
0.0,43.515594444444446,13.498019444444443,54.6,0.0,,0.73,14,12.973,0.0,-5.4,-3.089,,,,,,True
0.0,43.515475,13.498024999999998,53.9,0.0,,0.73,14,13.289,0.0,-5.27,-3.015,,,,,,True
0.0,43.51523611111111,13.498024999999998,52.9,0.0,,0.73,14,26.563,0.0,-3.76,-2.156,,,,,,True
0.0,43.515119444444444,13.498027777777777,52.4,0.0,,0.73,14,12.975,0.0,-3.85,-2.207,,,,,,True
0.0,43.515008333333334,13.498030555555555,52.1,0.0,,0.73,14,12.357,0.0,-2.43,-1.391,,,,,,True
0.0,43.51490555555556,13.498033333333332,51.7,0.0,,0.73,14,11.431,0.0,-3.5,-2.004,,,,,,True
0.0,43.514744444444446,13.49803611111111,51.2,0.0,,0.73,14,17.916,0.0,-2.79,-1.599,,,,,,True
0.0,43.51467777777778,13.498024999999998,51.1,0.0,,0.68,15,7.467,0.0,-1.34,-0.767,,,,,,True
0.0,43.51461111111111,13.498,50.8,0.0,,0.68,15,7.682,0.0,-3.91,-2.236,,,,,,True
0.0,43.51454722222222,13.497955555555555,50.4,0.0,,0.68,15,7.957,0.0,-5.03,-2.878,,,,,,True
0.0,43.51448055555556,13.497916666666665,50.3,0.0,,0.7,14,8.049,0.0,-1.24,-0.712,,,,,,True
0.1,43.53426944444444,13.50028611111111,36.1,32.8971,221.14,0.69,14,2208.701,0.914,-0.64,-0.368,0.9999,-0.1498,0.1759,0.2046,0.312,True
0.2,43.53426111111111,13.500277777777777,36.1,33.0841,221.02,0.69,14,1.145,0.919,0.0,0.0,0.9943,-0.1739,0.1618,0.252,0.3052,True
0.3,43.53425555555555,13.500269444444445,36.0,32.7248,218.72,0.69,14,0.913,0.909,-10.96,-6.253,0.9879,-0.1968,0.1513,0.2456,0.2734,True
0.4,43.53425,13.500263888888888,36.0,32.8841,217.64,0.69,14,0.763,0.913,0.0,0.0,0.984,-0.1829,0.171,0.2227,0.2549,True
0.5,43.53424444444444,13.500255555555556,35.9,32.5063,216.55,0.69,14,0.913,0.903,-10.96,-6.253,0.9912,-0.1813,0.1579,0.2427,0.3188,False
0.6,43.534236111111106,13.50025,35.9,0.0,,0.69,14,1.029,0.0,0.0,0.0,0.9826,-0.1735,0.1554,0.2334,0.2539,False
0.7,43.53423055555555,13.500241666666666,35.8,32.1915,213.92,0.69,14,0.913,0.894,-10.96,-6.253,0.9724,-0.1716,0.1429,0.2349,0.2456,False
0.7,43.53423055555555,13.500241666666666,35.8,32.1915,213.92,0.69,14,0.0,0.0,,,,,,,,False
0.8,43.53422222222222,13.50023611111111,35.8,32.1915,213.92,0.69,14,1.029,0.894,0.0,0.0,0.9989,-0.1176,0.1454,0.1543,0.2114,True
0.9,43.534216666666666,13.500230555555556,35.8,31.8729,213.07,0.68,15,0.763,0.885,0.0,0.0,0.9924,-0.132,0.1557,0.1958,0.2773,True
1.0,43.53421111111111,13.500225,35.7,32.1378,212.09,0.68,15,0.763,0.893,-13.11,-7.467,0.9719,-0.1143,0.161,0.187,0.2876,True
1.1,43.53420277777778,13.500219444444445,35.7,32.2174,210.79,0.68,15,1.029,0.895,0.0,0.0,0.9981,-0.1543,0.1888,0.2026,0.3105,True
1.2,43.53419722222222,13.500213888888888,35.6,32.4415,209.86,0.68,15,0.763,0.901,-13.11,-7.467,1.0127,-0.1461,0.1758,0.228,0.3228,True
1.3,43.534188888888885,13.500208333333333,35.6,32.0748,208.36,0.68,15,1.029,0.891,0.0,0.0,0.9687,-0.1542,0.2221,0.2485,0.3652,False
1.4,43.53418333333333,13.500202777777778,35.6,0.0,,0.71,14,0.763,0.0,0.0,0.0,0.9695,-0.178,0.2366,0.2397,0.3384,False
1.5,43.534175,13.500197222222223,35.6,32.4396,206.15,0.71,14,1.029,0.901,0.0,0.0,0.9719,-0.2006,0.2529,0.2397,0.3765,False
1.6,43.534166666666664,13.500191666666666,35.5,0.0,,0.71,14,1.029,0.0,-9.72,-5.55,0.9772,-0.1963,0.2613,0.2646,0.3926,False
1.7,43.53416111111111,13.50018888888889,35.5,32.7211,204.74,0.71,14,0.657,0.909,0.0,0.0,0.9499,-0.1615,0.2647,0.229,0.3892,False
1.7,43.53416111111111,13.50018888888889,35.5,32.7211,204.74,0.71,14,0.0,0.0,,,,,,,,False
1.8,43.53415277777778,13.500183333333334,35.5,33.4119,202.38,0.71,14,1.029,0.928,0.0,0.0,0.9683,-0.1815,0.2669,0.249,0.3945,True
1.9,43.53414444444444,13.500180555555556,35.5,33.7916,202.02,0.71,14,0.953,0.939,0.0,0.0,0.9658,-0.1814,0.2436,0.2212,0.3979,True
2.0,43.53413611111111,13.500175,35.5,34.4954,200.09,0.71,14,1.029,0.958,0.0,0.0,0.9492,-0.1709,0.2313,0.2432,0.3613,True
2.1,43.534127777777776,13.500172222222222,35.5,33.7749,200.1,0.71,14,0.953,0.938,0.0,0.0,0.9414,-0.1381,0.2373,0.2754,0.3823,True
