t,lat,lon,gps_alt,dem_alt,diff_m
0.0,43.534275,13.500291666666667,36.2,40.0,-3.8
0.1,43.53426944444444,13.50028611111111,36.1,40.0,-3.9
0.2,43.53426111111111,13.500277777777777,36.1,40.0,-3.9
0.3,43.53425555555555,13.500269444444445,36.0,40.0,-4.0
0.4,43.53425,13.500263888888888,36.0,40.0,-4.0
0.5,43.53424444444444,13.500255555555556,35.9,40.0,-4.1
0.6,43.534236111111106,13.50025,35.9,40.0,-4.1
0.7,43.53423055555555,13.500241666666666,35.8,40.0,-4.2
0.8,43.53422222222222,13.50023611111111,35.8,40.0,-4.2
0.9,43.534216666666666,13.500230555555556,35.8,40.0,-4.2
1.0,43.53421111111111,13.500225,35.7,40.0,-4.3
1.1,43.53420277777778,13.500219444444445,35.7,40.0,-4.3
1.2,43.53419722222222,13.500213888888888,35.6,40.0,-4.4
1.3,43.534188888888885,13.500208333333333,35.6,40.0,-4.4
1.4,43.53418333333333,13.500202777777778,35.6,40.0,-4.4
1.5,43.534175,13.500197222222223,35.6,40.0,-4.4
1.6,43.534166666666664,13.500191666666666,35.5,40.0,-4.5
1.7,43.53416111111111,13.50018888888889,35.5,40.0,-4.5
1.8,43.53415277777778,13.500183333333334,35.5,40.0,-4.5
1.9,43.53414444444444,13.500180555555556,35.5,40.0,-4.5
2.0,43.53413611111111,13.500175,35.5,40.0,-4.5
2.1,43.534127777777776,13.500172222222222,35.5,40.0,-4.5
2.2,43.53411944444444,13.500166666666667,35.5,40.0,-4.5
2.3,43.53411111111111,13.500163888888888,35.4,40.0,-4.6
2.4,43.534102777777775,13.500158333333333,35.4,40.0,-4.6
2.5,43.53409444444444,13.500155555555555,35.4,40.0,-4.6
2.6,43.53408611111111,13.500152777777778,35.4,40.0,-4.6
2.8,43.53406944444444,13.500147222222223,35.3,40.0,-4.7
3.0,43.534052777777774,13.50013888888889,35.2,40.0,-4.8
3.2,43.53403611111111,13.500133333333334,35.0,39.0,-4.0
3.4,43.53401944444444,13.500127777777777,34.9,39.0,-4.1
3.6,43.53400277777778,13.500122222222222,34.7,39.0,-4.3
3.8,43.53398333333333,13.500116666666667,34.5,39.0,-4.5
4.0,43.533966666666664,13.500111111111112,34.3,39.0,-4.7
4.2,43.53395,13.500108333333333,34.0,39.0,-5.0
4.4,43.53393055555556,13.500102777777778,33.8,39.0,-5.2
4.6,43.53391388888889,13.5001,33.7,39.0,-5.3
4.8,43.53389444444444,13.500097222222223,33.6,39.0,-5.4
5.0,43.533874999999995,13.500094444444445,33.4,39.0,-5.6
5.2,43.533858333333335,13.500091666666666,33.3,39.0,-5.7
5.4,43.53383888888889,13.500091666666666,33.2,39.0,-5.8
5.6,43.53381944444444,13.50008888888889,33.1,39.0,-5.9
5.8,43.5338,13.500086111111111,33.0,39.0,-6.0
6.0,43.53378333333333,13.500086111111111,32.9,39.0,-6.1
6.2,43.533763888888885,13.500083333333333,32.8,39.0,-6.2
6.4,43.53374722222222,13.500080555555556,32.7,39.0,-6.3
6.6,43.53372777777778,13.500080555555556,32.7,39.0,-6.3
6.7,43.53371944444444,13.500080555555556,32.6,39.0,-6.4
6.8,43.53371111111111,13.500080555555556,32.6,39.0,-6.4
6.9,43.533699999999996,13.500080555555556,32.6,39.0,-6.4
7.0,43.53369166666666,13.500080555555556,32.6,39.0,-6.4
7.1,43.53368333333333,13.500080555555556,32.5,39.0,-6.5
7.2,43.533674999999995,13.500080555555556,32.4,39.0,-6.6
7.3,43.53366666666666,13.500080555555556,32.4,39.0,-6.6
7.4,43.53365833333333,13.500080555555556,32.3,39.0,-6.7
7.5,43.53365,13.500080555555556,32.3,39.0,-6.7
7.6,43.53364166666667,13.500083333333333,32.2,39.0,-6.8
7.7,43.533633333333334,13.500083333333333,32.1,39.0,-6.9
7.8,43.533625,13.500083333333333,32.1,39.0,-6.9
7.9,43.53361666666667,13.500086111111111,32.0,39.0,-7.0
8.0,43.53360833333333,13.500086111111111,32.0,39.0,-7.0
8.1,43.5336,13.50008888888889,32.0,39.0,-7.0
8.2,43.533588888888886,13.500091666666666,31.9,39.0,-7.1
8.3,43.53358055555555,13.500091666666666,31.9,39.0,-7.1
8.4,43.53357222222222,13.500094444444445,31.9,39.0,-7.1
8.5,43.533563888888885,13.500094444444445,31.9,39.0,-7.1
8.6,43.53355555555555,13.500097222222223,31.8,39.0,-7.2
8.7,43.53354722222222,13.5001,31.7,39.0,-7.3
