t,lat,lon,gps_alt,dem_alt,diff_m
0.0,43.51441111111111,13.497902777777776,50.3,51.0,-0.7
0.1,43.51444722222222,13.497905555555555,50.3,51.0,-0.7
0.4,43.514427777777776,13.497902777777776,50.3,51.0,-0.7
0.6,43.51441111111111,13.497902777777776,50.3,51.0,-0.7
0.8,43.51439166666667,13.497905555555555,50.2,51.0,-0.8
1.1,43.514377777777774,13.497908333333333,50.2,51.0,-0.8
1.3,43.51436388888889,13.497913888888888,50.1,51.0,-0.9
1.5,43.51435,13.497919444444443,50.0,52.0,-2.0
1.7,43.51433055555555,13.497927777777777,49.8,52.0,-2.2
2.0,43.514316666666666,13.497933333333332,49.4,52.0,-2.6
2.1,43.51431111111111,13.49793611111111,49.3,52.0,-2.7
2.3,43.514297222222226,13.497944444444444,49.1,52.0,-2.9
2.5,43.51428333333333,13.49795,48.8,52.0,-3.2
2.6,43.514269444444444,13.497958333333333,48.7,52.0,-3.3
2.9,43.51425555555556,13.497966666666667,48.4,52.0,-3.6
3.0,43.514247222222224,13.497972222222222,48.4,52.0,-3.6
3.1,43.51424166666666,13.497974999999999,48.3,52.0,-3.7
3.2,43.51423333333334,13.497980555555555,48.3,52.0,-3.7
3.3,43.514225,13.497983333333332,48.2,52.0,-3.8
3.4,43.51421111111111,13.497991666666666,48.2,52.0,-3.8
3.5,43.51421111111111,13.497991666666666,48.2,52.0,-3.8
3.6,43.51419444444444,13.49799722222222,48.2,52.0,-3.8
3.8,43.51418611111111,13.498,48.2,52.0,-3.8
3.9,43.514177777777775,13.498002777777778,48.1,52.0,-3.9
4.1,43.514161111111115,13.498008333333333,48.1,52.0,-3.9
4.3,43.51414444444445,13.498013888888888,48.1,52.0,-3.9
4.4,43.514133333333334,13.498016666666667,48.1,52.0,-3.9
4.5,43.514116666666666,13.498019444444443,48.0,52.0,-4.0
4.6,43.514116666666666,13.498019444444443,48.0,52.0,-4.0
4.7,43.51409722222222,13.498024999999998,48.0,52.0,-4.0
4.8,43.51408888888889,13.498024999999998,48.0,52.0,-4.0
4.9,43.51407777777778,13.498027777777777,47.9,52.0,-4.1
5.2,43.51405833333333,13.498030555555555,47.9,52.0,-4.1
5.3,43.51405,13.498033333333332,47.9,52.0,-4.1
5.4,43.51403055555556,13.498033333333332,48.0,52.0,-4.0
5.5,43.51403055555556,13.498033333333332,48.0,52.0,-4.0
5.6,43.51401944444444,13.49803611111111,47.9,52.0,-4.1
5.7,43.51400833333334,13.49803611111111,47.9,53.0,-5.1
5.8,43.514,13.49803611111111,47.9,53.0,-5.1
5.9,43.51398888888889,13.498038888888889,47.9,53.0,-5.1
6.0,43.513977777777775,13.498038888888889,47.8,53.0,-5.2
6.1,43.51396944444444,13.498038888888889,47.8,53.0,-5.2
6.2,43.513958333333335,13.498038888888889,47.8,53.0,-5.2
6.3,43.513936111111114,13.498041666666666,47.7,53.0,-5.3
6.5,43.513925,13.498041666666666,47.7,53.0,-5.3
6.6,43.51391388888889,13.498041666666666,47.6,53.0,-5.4
6.7,43.51390555555555,13.498044444444444,47.6,53.0,-5.4
6.8,43.513894444444446,13.498044444444444,47.6,53.0,-5.4
6.9,43.51388333333333,13.498044444444444,47.5,53.0,-5.5
7.0,43.513872222222226,13.498044444444444,47.5,53.0,-5.5
7.1,43.51386111111111,13.498044444444444,47.5,53.0,-5.5
7.2,43.51383888888889,13.49804722222222,47.5,53.0,-5.5
7.4,43.513825,13.49804722222222,47.4,53.0,-5.6
7.5,43.51381388888889,13.49804722222222,47.4,54.0,-6.6
7.6,43.51380277777778,13.49805,47.3,54.0,-6.7
7.7,43.51379166666667,13.49805,47.3,54.0,-6.7
7.8,43.513780555555556,13.49805,47.3,54.0,-6.7
7.9,43.51376944444444,13.49805,47.2,54.0,-6.8
8.0,43.513755555555555,13.49805,47.2,54.0,-6.8
8.1,43.513733333333334,13.498052777777778,47.2,54.0,-6.8
8.3,43.51372222222222,13.498052777777778,47.2,54.0,-6.8
8.5,43.51369722222222,13.498055555555554,47.2,54.0,-6.8
8.6,43.51367222222222,13.498055555555554,47.1,55.0,-7.9
8.7,43.51366111111111,13.498055555555554,47.1,55.0,-7.9
8.8,43.51365,13.498055555555554,47.1,55.0,-7.9
8.9,43.51363611111111,13.498055555555554,47.1,55.0,-7.9
9.0,43.513625,13.498058333333333,47.1,55.0,-7.9
9.1,43.51361388888889,13.498058333333333,47.0,55.0,-8.0
9.2,43.5136,13.498058333333333,47.0,55.0,-8.0
9.5,43.513575,13.498058333333333,47.0,55.0,-8.0
9.6,43.51355,13.49806111111111,46.9,55.0,-8.1
9.7,43.51353888888889,13.49806111111111,46.9,55.0,-8.1
9.8,43.513525,13.49806111111111,46.9,55.0,-8.1
9.9,43.51351388888889,13.49806111111111,46.9,55.0,-8.1
10.0,43.5135,13.49806111111111,46.8,55.0,-8.2
10.1,43.51348888888889,13.498063888888888,46.8,55.0,-8.2
10.4,43.513463888888886,13.498063888888888,46.8,55.0,-8.2
10.5,43.51343888888889,13.498063888888888,46.7,55.0,-8.3
10.6,43.513425,13.498063888888888,46.7,55.0,-8.3
10.7,43.51341388888889,13.498063888888888,46.7,55.0,-8.3
10.8,43.5134,13.498066666666666,46.7,55.0,-8.3
10.9,43.51338888888889,13.498066666666666,46.6,55.0,-8.4
11.0,43.513375,13.498066666666666,46.6,55.0,-8.4
11.1,43.51336388888889,13.498066666666666,46.6,55.0,-8.4
11.2,43.51335,13.498066666666666,46.5,55.0,-8.5
11.5,43.513325,13.498066666666666,46.5,55.0,-8.5
11.6,43.5133,13.498066666666666,46.5,55.0,-8.5
11.7,43.513286111111114,13.498066666666666,46.4,55.0,-8.6
11.8,43.513275,13.498066666666666,46.4,55.0,-8.6
12.0,43.51325,13.498066666666666,46.4,54.0,-7.6
12.2,43.513225,13.498069444444443,46.4,54.0,-7.6
12.4,43.5132,13.498069444444443,46.4,54.0,-7.6
12.5,43.5132,13.498069444444443,46.4,54.0,-7.6
12.6,43.513175,13.498069444444443,46.3,54.0,-7.7
12.8,43.51315,13.498069444444443,46.3,54.0,-7.7
13.0,43.513125,13.498072222222222,46.3,54.0,-7.7
13.2,43.5131,13.498072222222222,46.3,53.0,-6.7
13.4,43.513075,13.498072222222222,46.3,53.0,-6.7
13.5,43.513075,13.498072222222222,46.3,53.0,-6.7
13.6,43.51305,13.498072222222222,46.3,53.0,-6.7
13.8,43.513025,13.498072222222222,46.3,53.0,-6.7
14.0,43.512997222222225,13.498072222222222,46.3,53.0,-6.7
14.2,43.512972222222224,13.498075,46.3,53.0,-6.7
14.4,43.51294722222222,13.498075,46.3,53.0,-6.7
14.5,43.51294722222222,13.498075,46.3,53.0,-6.7
14.6,43.51292222222222,13.498075,46.2,53.0,-6.8
14.8,43.51289444444444,13.498075,46.3,52.0,-5.7
15.0,43.51286944444445,13.498075,46.2,52.0,-5.8
15.2,43.51284444444445,13.498075,46.2,52.0,-5.8
15.4,43.512816666666666,13.498077777777777,46.2,52.0,-5.8
15.5,43.512816666666666,13.498077777777777,46.2,52.0,-5.8
15.6,43.512791666666665,13.498077777777777,46.1,52.0,-5.9
15.8,43.51276388888889,13.498077777777777,46.1,52.0,-5.9
16.0,43.51273888888889,13.498080555555555,46.1,52.0,-5.9
16.2,43.51271111111111,13.498080555555555,46.0,52.0,-6.0
16.4,43.51268611111111,13.498080555555555,46.0,51.0,-5.0
16.5,43.51268611111111,13.498080555555555,46.0,51.0,-5.0
16.6,43.512658333333334,13.498080555555555,45.9,51.0,-5.1
16.8,43.51263055555555,13.498083333333332,45.9,51.0,-5.1
17.0,43.51260555555555,13.498083333333332,45.8,51.0,-5.2
17.1,43.512591666666665,13.498083333333332,45.8,51.0,-5.2
17.2,43.51257777777778,13.498083333333332,45.8,51.0,-5.2
17.3,43.51256388888889,13.498083333333332,45.8,51.0,-5.2
17.4,43.51255,13.498083333333332,45.8,50.0,-4.2
17.5,43.51253611111111,13.498083333333332,45.8,50.0,-4.2
17.6,43.51252222222222,13.49808611111111,45.7,50.0,-4.3
17.7,43.51251111111111,13.49808611111111,45.7,50.0,-4.3
17.8,43.51249722222222,13.49808611111111,45.7,50.0,-4.3
17.9,43.512483333333336,13.49808611111111,45.7,50.0,-4.3
18.0,43.51246944444444,13.49808611111111,45.7,50.0,-4.3
18.1,43.512455555555555,13.49808611111111,45.7,50.0,-4.3
18.2,43.51244166666667,13.49808611111111,45.7,50.0,-4.3
18.5,43.51241388888889,13.49808611111111,45.7,50.0,-4.3
18.6,43.51238611111111,13.49808611111111,45.7,50.0,-4.3
18.7,43.512372222222226,13.49808611111111,45.7,50.0,-4.3
18.8,43.51235833333333,13.49808611111111,45.7,50.0,-4.3
18.9,43.512344444444444,13.49808611111111,45.7,50.0,-4.3
19.0,43.51233055555556,13.49808611111111,45.7,50.0,-4.3
19.1,43.51231666666666,13.49808611111111,45.7,50.0,-4.3
19.2,43.512302777777776,13.49808611111111,45.7,50.0,-4.3
19.5,43.51227222222222,13.49808611111111,45.7,50.0,-4.3
19.6,43.512258333333335,13.49808611111111,45.7,50.0,-4.3
19.7,43.51224444444444,13.49808611111111,45.7,50.0,-4.3
19.8,43.512230555555554,13.49808611111111,45.8,50.0,-4.2
19.9,43.51221666666667,13.49808611111111,45.8,50.0,-4.2
20.0,43.51220277777778,13.49808611111111,45.8,50.0,-4.2
20.1,43.512188888888886,13.49808611111111,45.8,50.0,-4.2
20.2,43.51217222222222,13.49808611111111,45.8,50.0,-4.2
20.3,43.51215833333333,13.49808611111111,45.8,50.0,-4.2
20.4,43.51213055555556,13.49808611111111,45.8,50.0,-4.2
20.5,43.51213055555556,13.49808611111111,45.8,50.0,-4.2
20.6,43.512116666666664,13.49808611111111,45.8,50.0,-4.2
20.8,43.51208611111111,13.49808611111111,45.8,50.0,-4.2
20.9,43.512058333333336,13.49808611111111,45.7,49.0,-3.3
21.2,43.512027777777774,13.49808611111111,45.7,49.0,-3.3
21.3,43.51199722222222,13.49808611111111,45.7,49.0,-3.3
21.4,43.51198333333333,13.49808611111111,45.6,49.0,-3.4
21.5,43.511969444444446,13.498088888888889,45.5,49.0,-3.5
21.6,43.51195555555555,13.498088888888889,45.5,49.0,-3.5
21.7,43.51193888888889,13.498088888888889,45.5,49.0,-3.5
21.8,43.511925,13.498088888888889,45.4,49.0,-3.6
21.9,43.51190833333333,13.498088888888889,45.4,49.0,-3.6
22.0,43.511894444444444,13.498088888888889,45.3,49.0,-3.7
22.1,43.51188055555556,13.498088888888889,45.3,49.0,-3.7
22.2,43.51186388888889,13.498088888888889,45.3,48.0,-2.7
22.3,43.51185,13.498091666666665,45.2,48.0,-2.8
22.4,43.511833333333335,13.498091666666665,45.2,48.0,-2.8
22.5,43.51181944444444,13.498091666666665,45.1,48.0,-2.9
22.6,43.511805555555554,13.498091666666665,45.1,48.0,-2.9
22.7,43.51178888888889,13.498091666666665,45.1,48.0,-2.9
22.8,43.511775,13.498091666666665,45.0,48.0,-3.0
