t,lat,lon,altitude_m,speed_kmh,heading_deg,gps_dop,gps_sats,dist_m,arc_m,slope_pct,slope_deg,g_vertical,g_lateral,g_longitudinal,g_lateral_peak,g_long_peak,in_curve
0.0,43.51445277777778,13.497908333333333,,28.0245,192.68,,,0.0,0.0,,,,,,,,False
0.0,43.51441111111111,13.497902777777776,50.3,0.0,,0.7,14,4.655,0.0,,,,,,,,False
0.0,43.51434444444445,13.497922222222222,49.9,0.0,,0.68,15,7.577,0.0,-5.28,-3.022,,,,,,False
0.0,43.51368611111111,13.498055555555554,47.1,0.0,,0.68,15,73.989,0.0,-3.78,-2.167,,,,,,False
0.0,43.51356388888889,13.49806111111111,46.9,0.0,,0.68,15,13.598,0.0,-1.47,-0.843,,,,,,False
0.0,43.51343888888889,13.498063888888888,46.7,0.0,,0.68,15,13.901,0.0,-1.44,-0.824,,,,,,False
0.0,43.51253611111111,13.498083333333332,45.8,0.0,,0.68,15,100.397,0.0,-0.9,-0.514,,,,,,False
0.0,43.5124,13.49808611111111,45.7,0.0,,0.68,15,15.137,0.0,-0.66,-0.379,,,,,,False
0.0,43.511969444444446,13.498088888888889,45.5,0.0,,0.68,15,47.876,0.0,-0.42,-0.239,,,,,,False
0.0,43.51181944444444,13.498091666666665,45.1,0.0,,0.68,15,16.681,0.0,-2.4,-1.374,,,,,,False
0.0,43.51166666666666,13.498094444444444,44.8,0.0,,0.68,15,16.99,0.0,-1.77,-1.012,,,,,,False
0.0,43.511516666666665,13.498091666666665,44.5,0.0,,0.68,15,16.681,0.0,-1.8,-1.03,,,,,,False
0.0,43.51136666666667,13.49809722222222,44.0,0.0,,0.68,15,16.685,0.0,-3.0,-1.716,,,,,,False
0.0,43.51121666666667,13.498099999999999,43.6,0.0,,0.68,15,16.681,0.0,-2.4,-1.374,,,,,,False
0.0,43.511066666666665,13.498108333333333,43.4,0.0,,0.68,15,16.693,0.0,-1.2,-0.686,,,,,,False
0.0,43.51063055555556,13.498149999999999,42.7,0.0,,0.68,14,48.61,0.0,-1.44,-0.825,,,,,,False
0.0,43.51005555555555,13.498291666666665,41.7,0.0,,0.68,14,64.95,0.0,-1.54,-0.882,,,,,,False
0.0,43.50991388888889,13.498333333333333,41.6,0.0,,0.68,14,16.107,0.0,-0.62,-0.356,,,,,,False
0.0,43.509769444444444,13.49837222222222,41.4,0.0,,0.68,14,16.365,0.0,-1.22,-0.7,,,,,,False
0.0,43.509625,13.498413888888889,41.3,0.0,,0.68,14,16.409,0.0,-0.61,-0.349,,,,,,False
0.0,43.509477777777775,13.498455555555555,41.2,0.0,,0.68,14,16.712,0.0,-0.6,-0.343,,,,,,False
0.0,43.508177777777775,13.49885,39.9,0.0,,0.71,13,148.012,0.0,-0.88,-0.503,,,,,,False
0.0,43.507894444444446,13.498941666666665,39.8,0.0,,0.68,14,32.361,0.0,-0.31,-0.177,,,,,,False
0.0,43.507752777777775,13.498988888888888,39.8,0.0,,0.68,14,16.206,0.0,0.0,0.0,,,,,,False
0.0,43.50761388888889,13.499038888888888,40.1,0.0,,0.63,15,15.961,0.0,1.88,1.077,,,,,,False
0.0,43.507475,13.49908611111111,40.1,0.0,,0.63,15,15.906,0.0,0.0,0.0,,,,,,False
0.0,43.507197222222224,13.499175,39.8,0.0,,0.63,15,31.708,0.0,-0.95,-0.542,,,,,,False
0.0,43.50706111111111,13.499216666666666,39.8,0.0,,0.68,14,15.503,0.0,0.0,0.0,,,,,,False
0.0,43.506661111111114,13.49935,39.6,0.0,,0.68,14,45.759,0.0,-0.44,-0.25,,,,,,False
0.0,43.50631388888889,13.499427777777777,41.3,0.0,,0.82,11,39.116,0.0,4.35,2.489,,,,,,False
0.0,43.5063,13.499430555555556,41.4,0.0,,0.82,11,1.561,0.0,6.41,3.667,,,,,,False
0.0,43.50622222222222,13.499455555555555,41.5,0.0,,0.74,12,8.88,0.0,1.13,0.645,,,,,,False
0.0,43.505652777777776,13.499652777777778,41.7,0.0,,0.68,14,65.287,0.0,0.31,0.176,,,,,,False
0.0,43.50555555555555,13.49968611111111,41.7,0.0,,0.68,14,11.14,0.0,0.0,0.0,,,,,,False
0.0,43.505452777777776,13.499722222222221,41.8,0.0,,0.68,14,11.794,0.0,0.85,0.486,,,,,,False
