t,lat,lon,gps_alt,dem_alt,diff_m
0.0,43.49463055555556,13.500294444444444,99.7,114.0,-14.3
0.1,43.49462777777778,13.500308333333333,99.8,114.0,-14.2
0.2,43.494625,13.500319444444445,99.8,114.0,-14.2
0.3,43.494622222222226,13.500347222222222,99.9,114.0,-14.1
0.4,43.494619444444446,13.500361111111111,100.0,114.0,-14.0
0.5,43.494616666666666,13.500372222222222,100.0,115.0,-15.0
0.6,43.494616666666666,13.50038611111111,100.1,115.0,-14.9
0.7,43.49461388888889,13.5004,100.0,115.0,-15.0
0.8,43.49461111111111,13.500411111111111,100.2,115.0,-14.8
0.9,43.49460833333333,13.500425,100.3,115.0,-14.7
1.0,43.49460277777778,13.500438888888889,100.4,115.0,-14.6
1.1,43.4946,13.50045,100.6,115.0,-14.4
1.2,43.494597222222225,13.500461111111111,100.6,115.0,-14.4
1.3,43.494597222222225,13.500461111111111,100.6,115.0,-14.4
1.4,43.494591666666665,13.500475,100.8,115.0,-14.2
1.6,43.49458333333333,13.5005,100.9,115.0,-14.1
1.7,43.494575,13.500525,101.2,115.0,-13.8
1.8,43.494569444444444,13.500536111111112,101.3,115.0,-13.7
1.9,43.49456666666667,13.500547222222222,101.4,115.0,-13.6
2.0,43.49456111111111,13.500558333333334,101.6,115.0,-13.4
2.1,43.49455833333334,13.500569444444444,101.6,115.0,-13.4
2.2,43.49455277777778,13.500580555555555,101.8,115.0,-13.2
2.3,43.494547222222224,13.500591666666667,101.9,115.0,-13.1
2.4,43.494547222222224,13.500591666666667,101.9,115.0,-13.1
2.5,43.49453611111111,13.500616666666666,102.2,115.0,-12.8
2.6,43.494530555555556,13.500627777777778,102.3,115.0,-12.7
2.7,43.494525,13.500638888888888,102.4,115.0,-12.6
2.8,43.49451666666667,13.500647222222222,102.5,115.0,-12.5
2.9,43.49451111111111,13.500658333333334,102.7,115.0,-12.3
3.0,43.494505555555556,13.500669444444444,102.7,115.0,-12.3
3.1,43.4945,13.500680555555556,102.9,115.0,-12.1
3.2,43.49449444444445,13.500688888888888,103.0,115.0,-12.0
3.3,43.49448888888889,13.5007,103.2,115.0,-11.8
3.4,43.494480555555555,13.50071111111111,103.3,115.0,-11.7
3.5,43.494475,13.500719444444444,103.4,115.0,-11.6
3.6,43.49446944444445,13.500730555555556,103.5,115.0,-11.5
3.7,43.494461111111114,13.50073888888889,103.6,115.0,-11.4
3.8,43.494455555555554,13.500747222222222,103.8,115.0,-11.2
3.9,43.49444722222222,13.500758333333334,103.8,115.0,-11.2
4.0,43.49444166666667,13.500766666666667,103.9,115.0,-11.1
4.1,43.49443333333333,13.500775,104.1,115.0,-10.9
4.2,43.49442777777778,13.500783333333333,104.2,115.0,-10.8
4.3,43.494419444444446,13.500791666666666,104.3,115.0,-10.7
4.4,43.49441388888889,13.500802777777778,104.5,115.0,-10.5
4.5,43.49440555555556,13.500811111111112,104.7,115.0,-10.3
4.6,43.4944,13.500819444444444,104.8,115.0,-10.2
4.7,43.494391666666665,13.500827777777777,105.0,115.0,-10.0
4.8,43.49438611111111,13.500836111111111,105.0,115.0,-10.0
4.9,43.49437777777778,13.500844444444445,105.4,116.0,-10.6
5.0,43.494372222222225,13.50085,105.4,116.0,-10.6
5.1,43.49436388888889,13.500858333333333,105.6,116.0,-10.4
5.2,43.49435555555556,13.500866666666667,105.8,116.0,-10.2
5.3,43.494347222222224,13.500872222222222,105.8,116.0,-10.2
5.4,43.49434166666667,13.500880555555556,105.9,116.0,-10.1
5.5,43.49433333333334,13.500886111111111,106.0,116.0,-10.0
5.6,43.494325,13.500891666666666,106.1,116.0,-9.9
5.7,43.49431666666667,13.5009,106.1,117.0,-10.9
5.8,43.494308333333336,13.500905555555555,106.3,117.0,-10.7
5.9,43.4943,13.500911111111112,106.4,117.0,-10.6
6.0,43.49429166666667,13.500916666666667,106.5,117.0,-10.5
6.1,43.49428611111111,13.500922222222222,106.6,117.0,-10.4
6.2,43.494275,13.500927777777777,106.7,117.0,-10.3
6.3,43.49426666666667,13.500933333333334,106.8,117.0,-10.2
6.4,43.49426666666667,13.500933333333334,106.8,117.0,-10.2
6.5,43.49425,13.500944444444444,107.0,118.0,-11.0
6.6,43.49424166666667,13.50095,107.0,118.0,-11.0
6.7,43.494233333333334,13.500955555555555,107.1,118.0,-10.9
6.8,43.494225,13.500961111111112,107.2,118.0,-10.8
6.9,43.49421666666667,13.500963888888888,107.3,118.0,-10.7
7.0,43.49420833333333,13.500969444444445,107.3,118.0,-10.7
7.1,43.4942,13.500972222222222,107.5,118.0,-10.5
7.2,43.494191666666666,13.500977777777777,107.5,118.0,-10.5
7.3,43.49418333333333,13.500980555555556,107.6,118.0,-10.4
7.4,43.494172222222225,13.50098611111111,107.6,119.0,-11.4
7.5,43.49416388888889,13.50098888888889,107.6,119.0,-11.4
7.6,43.49415833333333,13.500991666666666,107.8,119.0,-11.2
7.7,43.49415,13.500994444444444,107.9,119.0,-11.1
7.8,43.49414166666667,13.500997222222223,108.1,119.0,-10.9
7.9,43.49413333333334,13.501,108.2,119.0,-10.8
8.0,43.494125000000004,13.501002777777778,108.3,119.0,-10.7
8.1,43.49411666666667,13.501005555555556,108.4,119.0,-10.6
8.2,43.49410833333334,13.501008333333333,108.6,119.0,-10.4
8.3,43.49409722222222,13.501011111111112,108.7,120.0,-11.3
8.4,43.49409166666667,13.501013888888888,108.7,120.0,-11.3
8.5,43.494083333333336,13.501016666666667,109.0,120.0,-11.0
8.6,43.494075,13.501019444444445,109.1,120.0,-10.9
8.7,43.49406666666667,13.501022222222222,109.2,120.0,-10.8
8.8,43.494058333333335,13.501022222222222,109.3,120.0,-10.7
8.9,43.49404722222222,13.501025,109.4,120.0,-10.6
9.0,43.49403888888889,13.501027777777777,109.6,120.0,-10.4
9.3,43.49402222222222,13.501030555555555,109.8,120.0,-10.2
9.4,43.49401388888889,13.501033333333334,109.8,121.0,-11.2
9.6,43.49399722222223,13.50103611111111,110.2,121.0,-10.8
9.7,43.49398611111111,13.501038888888889,110.3,121.0,-10.7
9.8,43.49397777777778,13.501038888888889,110.4,121.0,-10.6
10.0,43.49396111111111,13.501044444444444,110.6,121.0,-10.4
10.1,43.493941666666665,13.501047222222223,110.8,121.0,-10.2
10.2,43.49393333333333,13.501047222222223,110.8,121.0,-10.2
10.3,43.493925000000004,13.50105,111.0,121.0,-10.0
10.4,43.49391388888889,13.50105,111.1,122.0,-10.9
10.7,43.49389722222222,13.501055555555556,111.4,122.0,-10.6
10.8,43.493877777777776,13.501058333333333,111.5,122.0,-10.5
10.9,43.49386666666667,13.501061111111111,111.7,122.0,-10.3
11.0,43.493858333333336,13.501061111111111,111.7,122.0,-10.3
11.1,43.49385,13.501063888888888,111.7,122.0,-10.3
11.2,43.49383888888889,13.501066666666667,111.9,122.0,-10.1
11.3,43.493830555555554,13.501066666666667,112.0,122.0,-10.0
11.4,43.49381944444445,13.501069444444445,112.1,122.0,-9.9
11.5,43.493811111111114,13.501072222222222,112.2,122.0,-9.8
11.6,43.4938,13.501072222222222,112.3,122.0,-9.7
11.7,43.493788888888886,13.501075,112.4,122.0,-9.6
11.8,43.49378055555556,13.501075,112.5,122.0,-9.5
11.9,43.493769444444446,13.501077777777779,112.6,122.0,-9.4
12.0,43.49376111111111,13.501077777777779,112.6,122.0,-9.4
12.1,43.49375,13.501080555555555,112.8,122.0,-9.2
12.2,43.49373888888889,13.501083333333334,112.9,122.0,-9.1
12.3,43.49373055555556,13.501083333333334,113.0,122.0,-9.0
12.4,43.493719444444444,13.50108611111111,113.1,122.0,-8.9
12.5,43.49370833333334,13.501088888888889,113.2,123.0,-9.8
12.6,43.493700000000004,13.501088888888889,113.3,123.0,-9.7
12.7,43.49368888888889,13.501091666666667,113.4,123.0,-9.6
12.9,43.49366666666667,13.501094444444444,113.5,123.0,-9.5
13.0,43.493658333333336,13.501097222222223,113.7,123.0,-9.3
13.1,43.49364722222222,13.5011,113.8,123.0,-9.2
13.2,43.493636111111115,13.501102777777778,113.9,123.0,-9.1
13.3,43.493625,13.501105555555556,114.0,123.0,-9.0
13.4,43.49361388888889,13.501108333333333,114.1,123.0,-8.9
13.5,43.49360277777778,13.501111111111111,114.2,123.0,-8.8
13.6,43.49359166666667,13.50111388888889,114.3,123.0,-8.7
13.7,43.49358055555555,13.501116666666666,114.3,123.0,-8.7
13.8,43.49356944444445,13.501119444444445,114.3,123.0,-8.7
13.9,43.49355833333333,13.501125,114.5,123.0,-8.5
14.0,43.493547222222226,13.501127777777779,114.6,123.0,-8.4
14.1,43.49353611111111,13.501130555555555,114.7,123.0,-8.3
14.2,43.493525,13.501133333333334,114.7,123.0,-8.3
14.3,43.49351388888889,13.501138888888889,114.8,123.0,-8.2
14.4,43.49350277777778,13.501141666666667,114.9,123.0,-8.1
14.5,43.49349166666667,13.501147222222222,114.9,123.0,-8.1
14.6,43.49348055555556,13.50115,115.0,123.0,-8.0
14.7,43.49346944444444,13.501155555555556,115.0,123.0,-8.0
14.8,43.493458333333336,13.501158333333333,115.2,123.0,-7.8
14.9,43.49344722222222,13.50116388888889,115.2,123.0,-7.8
15.0,43.49343611111111,13.501166666666666,115.3,123.0,-7.7
15.2,43.49342222222222,13.501172222222221,115.4,123.0,-7.6
15.3,43.4934,13.501183333333334,115.4,124.0,-8.6
15.4,43.4934,13.501183333333334,115.4,124.0,-8.6
15.5,43.493375,13.501194444444444,115.5,124.0,-8.5
15.6,43.49336388888889,13.5012,115.5,124.0,-8.5
15.7,43.49335277777778,13.501205555555556,115.6,124.0,-8.4
15.8,43.493341666666666,13.501211111111111,115.6,124.0,-8.4
15.9,43.49332777777778,13.501216666666666,115.7,124.0,-8.3
16.0,43.493316666666665,13.501222222222221,115.7,124.0,-8.3
16.1,43.49330555555556,13.501227777777778,115.8,124.0,-8.2
16.3,43.49328333333334,13.501238888888889,115.8,124.0,-8.2
16.4,43.49328333333334,13.501238888888889,115.8,124.0,-8.2
16.5,43.49326111111111,13.50125,115.9,124.0,-8.1
16.6,43.49325,13.501258333333332,116.0,124.0,-8.0
16.7,43.49323888888889,13.50126388888889,116.1,124.0,-7.9
16.8,43.493225,13.501269444444445,116.2,124.0,-7.8
16.9,43.49321388888889,13.501277777777778,116.2,124.0,-7.8
17.0,43.49320277777778,13.501283333333333,116.3,124.0,-7.7
17.1,43.49319166666667,13.501288888888888,116.3,124.0,-7.7
17.2,43.49317777777778,13.501294444444444,116.4,124.0,-7.6
17.3,43.49316666666667,13.501302777777777,116.4,124.0,-7.6
17.4,43.49315555555555,13.501308333333334,116.4,124.0,-7.6
17.5,43.493141666666666,13.50131388888889,116.5,124.0,-7.5
17.6,43.49313055555556,13.501319444444444,116.5,124.0,-7.5
17.7,43.493116666666666,13.501327777777778,116.5,124.0,-7.5
17.8,43.49310555555556,13.501333333333333,116.5,124.0,-7.5
17.9,43.493091666666665,13.501338888888888,116.4,124.0,-7.6
18.0,43.49308055555556,13.501347222222222,116.4,125.0,-8.6
18.1,43.493069444444444,13.501352777777777,116.5,125.0,-8.5
18.3,43.49304444444444,13.501366666666666,116.5,125.0,-8.5
18.4,43.49304444444444,13.501366666666666,116.5,125.0,-8.5
18.5,43.49301944444444,13.501377777777778,116.6,125.0,-8.4
18.6,43.493008333333336,13.501386111111112,116.7,125.0,-8.3
18.7,43.49299444444445,13.501391666666667,116.8,125.0,-8.2
18.8,43.492983333333335,13.501397222222222,116.9,125.0,-8.1
18.9,43.49297222222222,13.501405555555555,117.0,125.0,-8.0
19.0,43.492958333333334,13.50141111111111,117.0,125.0,-8.0
19.2,43.49293611111111,13.501422222222223,117.0,125.0,-8.0
19.3,43.49292222222223,13.501430555555556,117.0,126.0,-9.0
19.4,43.49291111111111,13.501436111111111,117.0,126.0,-9.0
19.5,43.4929,13.501441666666667,117.0,126.0,-9.0
19.6,43.49288611111111,13.501447222222222,117.0,126.0,-9.0
19.7,43.492875,13.501455555555555,117.0,126.0,-9.0
19.8,43.49286388888889,13.50146111111111,117.0,126.0,-9.0
19.9,43.492850000000004,13.501466666666667,117.0,126.0,-9.0
20.0,43.49283888888889,13.501472222222223,117.0,126.0,-9.0
20.1,43.49282777777778,13.501480555555556,117.0,126.0,-9.0
20.2,43.49281388888889,13.501486111111111,117.0,126.0,-9.0
20.3,43.492802777777776,13.501491666666666,117.0,126.0,-9.0
20.4,43.49279166666667,13.501497222222222,117.0,127.0,-10.0
20.5,43.492780555555555,13.501502777777779,117.1,127.0,-9.9
20.6,43.49276944444445,13.501508333333334,117.1,127.0,-9.9
20.7,43.492758333333335,13.501513888888889,117.1,127.0,-9.9
20.8,43.49274444444445,13.501519444444444,117.1,127.0,-9.9
20.9,43.492733333333334,13.501525,117.1,127.0,-9.9
21.0,43.49272222222222,13.501530555555556,117.1,127.0,-9.9
21.2,43.4927,13.501541666666666,117.2,127.0,-9.8
21.3,43.49268888888889,13.501547222222221,117.2,127.0,-9.8
21.4,43.49268888888889,13.501547222222221,117.2,127.0,-9.8
