t,lat,lon,speed_kmh,R_gps,dir_gps,R_osm,dir_osm,road_name,quality
0.0,43.49463055555556,13.500294444444444,39.3068,568.7,left,59.0,right,Via Ancona,ok
0.1,43.49462777777778,13.500308333333333,39.668,111.7,right,59.0,right,Via Ancona,ok
0.2,43.494625,13.500319444444445,39.2994,73.2,right,59.0,right,Via Ancona,ok
0.3,43.494622222222226,13.500347222222222,39.2235,102.3,right,59.0,right,Via Ancona,ok
0.4,43.494619444444446,13.500361111111111,38.7494,132.6,right,59.0,right,Via Ancona,ok
0.5,43.494616666666666,13.500372222222222,38.5994,423.7,right,59.0,right,Via Ancona,ok
0.6,43.494616666666666,13.50038611111111,38.6179,125.4,right,59.0,right,Via Ancona,ok
0.7,43.49461388888889,13.5004,38.2068,29.3,right,59.0,right,Via Ancona,ok
0.8,43.49461111111111,13.500411111111111,38.3234,27.4,right,59.0,right,Via Ancona,ok
0.9,43.49460833333333,13.500425,38.7661,39.2,right,59.0,right,Via Ancona,ok
1.0,43.49460277777778,13.500438888888889,38.7272,,straight,59.0,right,Via Ancona,ok
1.1,43.4946,13.50045,0.0,,straight,59.0,left,Via Ancona,ok
1.2,43.494597222222225,13.500461111111111,38.8087,,straight,59.0,right,Via Ancona,ok
1.3,43.494597222222225,13.500461111111111,38.8087,48.1,right,59.0,right,Via Ancona,ok
1.4,43.494591666666665,13.500475,39.3124,35.9,right,59.0,right,Via Ancona,ok
1.5,43.49458888888889,13.500486111111112,39.3087,,straight,59.0,right,Via Ancona,ok
1.6,43.49458333333333,13.5005,0.0,,straight,38.5,left,Via Ancona,ok
1.7,43.494575,13.500525,38.8976,,straight,38.5,right,Via Ancona,ok
1.8,43.494569444444444,13.500536111111112,37.929,,straight,38.5,right,Via Ancona,ok
1.9,43.49456666666667,13.500547222222222,37.6475,,straight,38.5,right,Via Ancona,ok
2.0,43.49456111111111,13.500558333333334,0.0,,straight,38.5,left,Via Ancona,ok
2.1,43.49455833333334,13.500569444444444,37.2104,,straight,38.5,right,Via Ancona,ok
2.2,43.49455277777778,13.500580555555555,39.0513,24.6,right,38.5,right,Via Ancona,ok
2.3,43.494547222222224,13.500591666666667,39.0513,74.0,right,38.5,right,Via Ancona,ok
2.4,43.494547222222224,13.500591666666667,39.0513,100.2,right,38.5,right,Via Ancona,ok
2.5,43.49453611111111,13.500616666666666,39.2476,61.2,right,38.5,right,Via Ancona,ok
2.6,43.494530555555556,13.500627777777778,39.1865,91.0,right,38.5,right,Via Ancona,ok
2.7,43.494525,13.500638888888888,38.929,100.7,right,38.5,right,Via Ancona,ok
2.8,43.49451666666667,13.500647222222222,38.5975,,straight,38.5,right,Via Ancona,ok
2.9,43.49451111111111,13.500658333333334,0.0,,straight,38.5,left,Via Ancona,ok
3.0,43.494505555555556,13.500669444444444,38.2086,,straight,38.5,right,Via Ancona,ok
3.1,43.4945,13.500680555555556,38.5753,46.3,right,38.5,right,Via Ancona,ok
3.2,43.49449444444445,13.500688888888888,37.9364,301.9,right,,straight,Via Ancona,ok
3.3,43.49449444444445,13.500688888888888,37.9364,49.3,right,,straight,Via Ancona,ok
3.4,43.494480555555555,13.50071111111111,37.9734,43.2,right,,straight,Via Ancona,ok
3.5,43.494475,13.500719444444444,38.5438,272.6,right,,straight,Via Ancona,ok
3.6,43.49446944444445,13.500730555555556,38.0697,233.0,right,,straight,Via Ancona,ok
3.7,43.494461111111114,13.50073888888889,38.3901,,straight,,straight,Via Ancona,ok
3.8,43.494455555555554,13.500747222222222,0.0,,straight,,straight,Via Ancona,ok
3.9,43.49444722222222,13.500758333333334,38.3457,,straight,,straight,Via Ancona,ok
4.0,43.49444166666667,13.500766666666667,38.2605,99.8,right,,straight,Via Ancona,ok
4.1,43.49443333333333,13.500775,37.8493,69.6,right,,straight,Via Ancona,ok
4.2,43.49442777777778,13.500783333333333,38.4123,89.2,right,,straight,Via Ancona,ok
4.3,43.49442777777778,13.500783333333333,38.4123,489.1,left,,straight,Via Ancona,ok
4.4,43.49441388888889,13.500802777777778,37.3122,742.3,left,,straight,Via Ancona,ok
4.5,43.49440555555556,13.500811111111112,37.44,121.6,right,,straight,Via Ancona,ok
4.6,43.4944,13.500819444444444,36.5677,,straight,,straight,Via Ancona,ok
4.7,43.494391666666665,13.500827777777777,0.0,,straight,,straight,Via Ancona,ok
4.8,43.49438611111111,13.500836111111111,36.6066,,straight,,straight,Via Ancona,ok
4.9,43.49437777777778,13.500844444444445,35.6158,31.7,right,,straight,Via Ancona,ok
5.0,43.494372222222225,13.50085,36.2992,43.4,right,,straight,Via Ancona,ok
5.1,43.49436388888889,13.500858333333333,36.1362,52.5,right,,straight,Via Ancona,ok
5.2,43.49435555555556,13.500866666666667,36.0233,80.2,right,,straight,Via Ancona,ok
5.3,43.49435555555556,13.500866666666667,36.0233,63.4,right,,straight,Via Ancona,ok
5.4,43.49434166666667,13.500880555555556,36.2677,34.2,right,,straight,Via Ancona,ok
5.5,43.49433333333334,13.500886111111111,36.0084,,straight,,straight,Via Ancona,ok
5.6,43.494325,13.500891666666666,0.0,,straight,,straight,Via Ancona,ok
5.7,43.49431666666667,13.5009,35.7214,,straight,,straight,Via Ancona,ok
5.8,43.494308333333336,13.500905555555555,36.4196,47.9,right,,straight,Via Ancona,ok
5.9,43.4943,13.500911111111112,36.5344,45.1,right,,straight,Via Ancona,ok
6.0,43.49429166666667,13.500916666666667,36.6437,162.0,right,,straight,Via Ancona,ok
6.1,43.49428611111111,13.500922222222222,36.7566,,straight,,straight,Via Ancona,ok
6.2,43.494275,13.500927777777777,0.0,,straight,,straight,Via Ancona,ok
6.3,43.49426666666667,13.500933333333334,36.9993,,straight,,straight,Via Ancona,ok
6.4,43.49426666666667,13.500933333333334,36.9993,,straight,,straight,Via Ancona,ok
6.5,43.49425,13.500944444444444,0.0,,straight,,straight,Via Ancona,ok
6.6,43.49424166666667,13.50095,37.3734,,straight,,straight,Via Ancona,ok
6.7,43.494233333333334,13.500955555555555,37.303,60.3,right,,straight,Via Ancona,ok
6.8,43.494225,13.500961111111112,37.3771,46.8,right,,straight,Via Ancona,ok
6.9,43.49421666666667,13.500963888888888,35.6306,47.5,right,,straight,Via Ancona,ok
7.0,43.49420833333333,13.500969444444445,35.7362,81.3,right,,straight,Via Ancona,ok
7.1,43.4942,13.500972222222222,35.7103,83.0,right,,straight,Via Ancona,ok
7.2,43.494191666666666,13.500977777777777,35.6584,114.7,right,,straight,Via Ancona,ok
7.3,43.494191666666666,13.500977777777777,35.6584,,straight,,straight,Via Ancona,ok
7.4,43.494172222222225,13.50098611111111,0.0,,straight,,straight,Via Ancona,ok
7.5,43.49416388888889,13.50098888888889,34.9732,,straight,,straight,Via Ancona,ok
7.6,43.49415833333333,13.500991666666666,34.0379,108.3,right,,straight,Via Ancona,ok
7.7,43.49415,13.500994444444444,34.4731,129.1,right,,straight,Via Ancona,ok
7.8,43.49414166666667,13.500997222222223,33.7971,59.8,right,,straight,Via Ancona,ok
7.9,43.49413333333334,13.501,34.0157,100.3,right,,straight,Via Ancona,ok
8.0,43.494125000000004,13.501002777777778,33.9416,125.6,right,,straight,Via Ancona,ok
8.1,43.49411666666667,13.501005555555556,33.8453,48.5,right,,straight,Via Ancona,ok
8.2,43.49410833333334,13.501008333333333,33.8453,62.6,right,,straight,Via Ancona,ok
